Company Name,Industry,Symbol,Series,ISIN Code
"ACC Ltd.","Construction Materials","ACC","EQ","INE012A01025"
"Adani Enterprises Ltd.","Metals","ADANIENT","EQ","INE423A01024"
"Adani Green Energy Ltd.","Power","ADANIGREEN","EQ","INE364U01010"
"Adani Ports and Special Economic Zone Ltd.","Services","ADANIPORTS","EQ","INE742F01042"
"Adani Transmission Ltd.","Power","ADANITRANS","EQ","INE931S01010"
"Ambuja Cements Ltd.","Construction Materials","AMBUJACEM","EQ","INE079A01024"
"Apollo Hospitals Enterprise Ltd.","Healthcare","APOLLOHOSP","EQ","INE437A01024"
"Asian Paints Ltd.","Consumer Durables","ASIANPAINT","EQ","INE021A01026"
"Avenue Supermarts Ltd.","Consumer Services","DMART","EQ","INE192R01011"
"Axis Bank Ltd.","Financial Services","AXISBANK","EQ","INE238A01034"
